"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"21-Mar",0,0,11.23759,21.69281,1.695477,8.208572,2.195596,3.440638,0,0,9.829808,0,0,6.499011,0,4.763065,0,0,8.621997,7.030258,13.20116,0,10.1519,0,0,8.725755,0,7.701181,23.4077,0,27.11209,0,23.78089,5.544059,0,5.825643,0,0,18
"22-Mar",0,0,6.34604,0,0,0,7.121702,5.103143,0,0,0,5.20579,3.324588,9.034942,0,2.198813,0,0,0,3.924847,5.211012,0,0,2.8908,12.22264,15.5374,0,9.463112,6.302739,1.828448,0,0,8.137665,4.007578,9.402609,8.239962,0,14.11468,21.71429
"23-Mar",0,0,13.59675,0,0,0.2307552,0,3.409429,0,2.726545,2.181242,7.903162,11.36483,8.917788,0,13.16538,0,0,12.8772,0,13.51968,0,0,2.3434,0,15.93183,0,24.24779,2.606539,0,16.29832,13.37101,14.76179,1.77416,5.190024,4.548447,0,20.87411,0
"24-Mar",0,0,10.14423,0,3.094898,9.612951,7.434539,3.966349,2.396184,6.866395,0,16.2012,3.578016,4.755659,4.655562,2.436942,0,1.300108,4.138115,6.111418,9.169194,0,2.696027,12.91889,0,2.617601,0,8.846928,5.525072,2.481715,6.968967,31.64594,21.32165,10.71202,8.616776,0,0,19.23327,0
"25-Mar",4.527512,0,6.019802,0,3.496493,12.54783,36.75789,9.380617,9.653613,5.601137,0,7.682364,17.38517,46.13473,15.5989,13.92798,6.324882,8.725017,1.989464,7.144732,6.86095,0,14.19209,16.36478,0,19.02514,0,1.191179,0,0,8.887419,2.748597,13.44883,0,46.79021,9.796278,0,35.13863,0
"26-Mar",2.593752,0,8.679283,0,4.693197,5.451846,9.190625,4.52194,4.327564,0,1.976937,2.728464,38.76199,27.57393,16.41017,5.945698,14.8264,8.247258,25.01519,7.785552,24.90799,0,3.14874,0,0,10.14485,0,4.918883,22.66771,0,2.635173,0,6.503784,0,0,4.655015,2.928424,0,23
"27-Mar",5.484282,7.667665,,0,0,0,26.64179,8.17607,0,0,,26.75101,0,9.204667,11.376,6.126805,14.75334,0,3.155511,11.29184,11.08756,5.836632,5.675087,6.732896,0,17.49313,0,6.253788,12.75023,0,17.43373,11.14887,6.331635,0,1.229872,8.517197,10.22847,15,7
"28-Mar",5.26058,0,33.13184,0,4.303936,0,13.69541,6.365913,5.946471,0,4.060184,17.33756,0,11.28981,8.328568,0,2.650474,0,12.63673,0,14.16647,0,0,0,5.906607,5.613911,0,4.458861,1.927966,2.02483,24.26882,3.87271,36.20205,0,14.50516,8.685701,5.360524,36,18
"29-Mar",3.25709,0,18.23437,0,0,,0,7.271386,38.43421,0,7.085829,0,4.506559,18.34239,11.21698,0,10.93257,0,10.68656,3.552124,6.492712,5.792577,3.530359,0,0,10.10153,2.958403,7.402749,9.413285,0,3.160817,0.9102635,24.96378,0,3.479161,1.833339,0,9,27
"30-Mar",,12.75298,,7.464845,5.588284,0,10.5896,10.14842,46.94727,8.25963,0,0,0,0,25.60864,0,6.746101,3.947393,7.808432,8.036476,8.261956,8.909865,0,18.98992,3.964056,8.90627,10.78882,2.31612,7.592503,0,14.53742,6.973763,11.90945,0.5096611,32.58372,0,0,18,18
